web-scraper-order,web-scraper-start-url,Summary,,,,,,,
1667026591-14,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Copy component name from "Java Beans" eclipse view to "VE source code panel" insert XMI code instead of "component name".,,,,,,,从“Java Beans”eclipse视图复制组件名称到“VE源代码面板”，插入XMI代码而不是“组件名称”。
1667026591-15,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,group_concat on mysql 5.6 using eclipse link FUNCTION does not support ORDER BY AND DISTINCT,,,,,,,group_concat在mysql 5.6使用eclipse link FUNCTION不支持ORDER BY和DISTINCT
1667026591-16,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[windows] eclipse hangs when opening a task editor,,,,,,,打开任务编辑器时eclipse挂起
1667026591-17,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Tomcat 7 & Eclipse Link,,,,,,,Tomcat 7和Eclipse链接
1667026591-18,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,remove of Eclipse task repository undone after Eclipse restart,,,,,,,删除Eclipse任务存储库，在Eclipse重新启动后未恢复
1667026591-19,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Bugzilla queries gone after moving from Eclipse 3.5 to 3.5.1,,,,,,,从Eclipse 3.5迁移到3.5.1后，Bugzilla查询消失了
1667026591-20,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Dragging a ReqIF into Eclipse causes a hang,,,,,,,将一个ReqIF拖放到Eclipse中会导致挂起
1667026591-21,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,JavaStackTraceHyperlinkDetector hangs my eclipse,,,,,,,JavaStackTraceHyperlinkDetector挂起我的eclipse
1667026591-22,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Composite Keys (Embedded IDs) not working with Dynamic Eclipse Link API (2.3.2),,,,,,,不支持动态Eclipse Link API的复合键(内嵌id) (2.3.2)
1667026591-23,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Link stops to make the nextval select for sequence filled id on objects persist,,,,,,,Eclipse Link停止，使对象上为序列填充的id的nextval select保持不变
1667026591-24,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Add and Remove Projects window does not comply with Eclipse/IBM UI guidelines,,,,,,,“添加和删除项目”窗口不符合Eclipse/IBM UI指南
1667026591-25,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Link dropping GROUP BY clause when translating Query,,,,,,,翻译查询时，Eclipse链接删除GROUP BY子句
1667026591-26,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse crashes when opening a ticket with a large number of comments,,,,,,,当打开带有大量注释的票据时，Eclipse会崩溃
1667026591-27,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.modisco.kdm.uml2converter.tests.KdmToUml2ConverterTest.testKdmToUmlConverter,,,,,,,
1667026591-28,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.(gmt.)?modisco.kdm.uml2converter.tests.KdmToUml2.*.testKdmToUmlConverter,,,,,,,
1667026591-29,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.persistence.exceptions.ValidationException may occur when deploying a set of inherited entities with generic parameters,,,,,,,在使用generic . xml部署一组继承实体时，可能会发生ValidationException
1667026591-30,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.gmt.modisco.java.discoverer.cdo.tests,,,,,,,
1667026591-31,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.modisco.java.browser.customization.test.Tests.bug308991,,,,,,,
1667026591-32,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,When using eclipse events and doing a delete the commit is skipped,,,,,,,当使用eclipse事件并执行删除时，提交将被跳过
1667026591-33,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Unit Test Failure] org.eclipse.modisco.java.discoverer.cdo.tests,,,,,,,
1667026591-34,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,o.e.jdt.annotation_2.0.0 plugin contained in org.eclipse.jubula.repo.zip,,,,,,,org.eclipse.jubula.repo.zip中包含的O.e.jdt.annotation_2.0.0插件
1667026591-35,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.persistence.exceptions.OptimisticLockException thrown instead of javax.persistence.OptimisticLockException,,,,,,,抛出OptimisticLockException而不是javax.persistence.OptimisticLockException
1667026591-36,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.persistence.platform.database.oracle.converters.JGeometryConverter is not thred-safe,,,,,,,JGeometryConverter不是线程安全的
1667026591-37,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.mylyn.tasks.core.templates permits URLs that end with a "/",,,,,,,模板允许url以"/"结尾
1667026591-38,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Commands should really have a category, id='org.eclipse.emf.facet.ui.loadCustomization'",,,,,,,命令应该有一个分类，id='org.eclipse.emf.facet.ui.loadCustomization'
1667026591-39,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Provide the org.eclipse.ui.browser plugin to support Mylyn integration with EPF Composer,,,,,,,提供org.eclipse.ui.browser插件来支持Mylyn与EPF Composer的集成
1667026591-40,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,SubsetSupersetEObjectEList in org.eclipse.emf.facet.util.emf.core,,,,,,,
1667026591-41,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[sec] Support Java security provider framework (JCA) in Eclipse,,,,,,,[sec]支持Eclipse中的Java安全提供程序框架(JCA)
1667026591-42,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Restructuring] org.eclipse.emf.facet.efacet.ui has to be refactored,,,,,,,org.eclipse.emf.facet.efacet.ui必须被重构
1667026591-43,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Include the Eclipse Workbench User Guide into the Online Help,,,,,,,将Eclipse Workbench用户指南包含到联机帮助中
1667026591-44,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,JPA: GlassFish V3 tutorial requires completion for Eclipse 3.6 and NetBeans 6.9 IDEs,,,,,,,JPA: GlassFish V3教程需要完成Eclipse 3.6和NetBeans 6.9 ide
1667026591-45,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Automated builds for Eclipse-RPM and Eclipse-OProfile,,,,,,,
1667026591-46,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[RPM] Define code formatting settings for Eclipse-RPM projects,,,,,,,[RPM] Define code formatting settings for Eclipse-RPM projects
1667026591-47,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse wont start tasks. New Code Will not run.,,,,,,,
1667026591-48,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Installation error in Eclipse neon,,,,,,,
1667026591-49,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Multiple extensions of extension point: org.eclipse.sphinx.emf.workspace.editingDomains will corrupt the behaviour of Sphinx in an IDE,,,,,,,
1667026591-50,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,ClassNotFoundException org.eclipse.jetty.util.Decorator,,,,,,,
1667026591-51,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,SVN connectors cannot be installed [Eclipse installation wizard fails first time if called programmatically],,,,,,,
1667026591-52,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse deletes a file which is not part of project !!!,,,,,,,
1667026591-53,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Installing through eclipse fails,,,,,,,
1667026591-54,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Opening a Java file from a project, Eclipse Juno crashes (Linux 32bit)",,,,,,,
1667026591-55,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Can't edit .java files nor access java preferences => can't work with Eclipse.,,,,,,,
1667026591-56,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Test Explore Everywhere Plugin for Eclipse build version 4.17 is missing,,,,,,,
1667026591-57,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Spring Tool Suite: NullpointerException at “Push In” operation in org.eclipse.jface,,,,,,,
1667026591-58,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse does not halt at breakpoint,,,,,,,
1667026591-59,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Access to secure storage is broken on OSX, making Eclipse unusable",,,,,,,
1667026591-60,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[license] Add Eclipse Distribution License along with Eclipse Public License,,,,,,,
1667026591-61,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Not able to launch or Run the eclipse-plugin-application,,,,,,,
1667026591-62,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,pollinate plugin does not work witch eclipse 3.1.1,,,,,,,
1667026591-63,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.epsilon.workflow@2.3.0.202104221823 exports org.apache.ant,,,,,,,
1667026591-64,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,I am unable to modularize my Java 10 project on Eclipse Photon.,,,,,,,
1667026591-65,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse can not start with class not found error for TCF to dltk,,,,,,,
1667026591-66,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Thread hang issue using 2.4.1 eclipse link version ConcurrencyManager,,,,,,,
1667026591-67,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse photon is unusable on Mac BigSur,,,,,,,
1667026591-68,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,BIRT is not working with Eclipse 2019-06,,,,,,,
1667026591-69,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Failed to execute org.eclipse.rcptt.core.ecl.core.model.impl.EnterContextImpl,,,,,,,
1667026591-70,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Crashing with large JAXB bindings file,,,,,,,
1667026591-71,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Eclipse JEE gz archive cannot be extracted, it fails",,,,,,,
1667026591-72,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,update your eclipse-jarsigner-plugin to a version >= 1.3.0,,,,,,,
1667026591-73,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,*URGENT* Too many org.eclipse.persistence.internal.queries.AttributeItem in memory *URGENT*,,,,,,,
1667026591-74,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Thread hang issue using 2.4.1 eclipse link version ConcurrencyManager,,,,,,,
1667026591-75,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Plug-in "org.eclipse.jdt.launching" was unable to instantiate class "org.eclipse.jdt.internal.launching.sourcelookup.advanced.AdvancedSourceLookupDirector",,,,,,,
1667026591-76,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Plugin can not be installed: http://download.eclipse.org/rmf/updates/latest,,,,,,,
1667026591-77,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse RAP+EMF Target Dependency Missing,,,,,,,
1667026591-78,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Lack of defensive code in org.eclipse.jubula.autagent.agent.AutAgent.sendConnectToClientMessage(AutIdentifier, String, int)",,,,,,,
1667026591-79,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Unable to build after eclipse update,,,,,,,
1667026591-80,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse C/C++ IDE : Not able to debug a simple C++ Hello World Application.,,,,,,,
1667026591-81,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"latest eclipse c/c++ on mac, does not resolve std/boost symbol, previous version work perfectly",,,,,,,
1667026591-82,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Eclipse main thread loops endless in lpg.lpgjavaruntime.LexParser.parseCharacters, lines 133 to 191",,,,,,,
1667026591-83,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Project location is broken after a Git project is imported: Eclipse ignores .location file,,,,,,,
1667026591-84,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,problems with Eclipse ide,,,,,,,
1667026591-85,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Using 4.5.x as upstream platform introduces SWT dependencies in org.eclipse.e4.ui.workbench,,,,,,,
1667026591-86,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Installation fails Unable to read repository at http://download.eclipse.org/releases/oxygen,,,,,,,
1667026591-87,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.buildship.core.internal.GradlePluginsRuntimeException: Can’t read root project location for project located at --,,,,,,,
1667026591-88,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,eclipse couldn't determine version of valgrind,,,,,,,
1667026591-89,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,An error has occurred. See error log for more details. org/eclipse/m2e/jdt/internal/MavenClasspathContainerSaveHelper,,,,,,,
1667026591-90,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Debug view hangs UI for extended periods ( Eclipse 4.21 ),,,,,,,
1667026591-91,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,During CDT C project build - eclipse hangs and makes PC unresponsive,,,,,,,
1667026591-92,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Tycobuild unable to download from repository https://download.eclipse.org/releases/2019-06/201906191000:,,,,,,,
1667026591-93,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Inconsitent generics infererence between the eclipse compiler and the JDK compiler,,,,,,,
1667026591-94,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,MoDisco is not a good Eclipse citizen,,,,,,,
1667026591-95,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Unable to install TestNG in to eclipse,,,,,,,
1667026591-96,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse IDE for Java Developers has EMF dependency Conflict.,,,,,,,
1667026591-97,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,can't open eclipse,,,,,,,
1667026591-98,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Error Creating PHP Project in Eclipse 2021-3,,,,,,,
1667026591-99,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse RCP application built for MacOS ARM-64 hardware is not signed properly,,,,,,,
1667026591-100,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,With auto complete eclipse stucks and does not restart without kill it and open it again,,,,,,,
1667026591-101,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Issue with libs of org.eclipse.jface. in Linux Platform,,,,,,,
1667026591-102,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,unable to Deploy a new Dynamic Web project with JSF v2.3 created by eclipse on Glassfish,,,,,,,
1667026591-103,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"NAB/MWT - Not workigin with Eclipse M20070212-1330, CDT 3.1.2, ws-v3.96-1",,,,,,,
1667026591-104,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Ubuntu 13.10 ClassNotFoundException: org.mozilla.javascript.ScriptOrFnNode cannot be found by org.eclipse.birt.data,,,,,,,
1667026591-105,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Unable to install or download softwares, By clicking on eclipse marketplace we are getting error ""Cannot install remote marketplace locations: Connection failed""",,,,,,,
1667026591-106,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.e4.xwt.XWTException: Type UiBinder is not found using gwt 2.8.1,,,,,,,
1667026591-107,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Modeling Package not launching in Mac Sierra,,,,,,,
1667026591-108,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse IDE fails to launch,,,,,,,
1667026591-109,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Freeze while editing Birt report parameter (having long sql query) in .rptdesign file's report parameter,,,,,,,
1667026591-110,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"After update from 2021-12 to 2022-03, startup of eclipse fails",,,,,,,
1667026591-111,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,can't open eclipse,,,,,,,
1667026591-112,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Windows 7 update makes eclipse installer and eclipse 2021-12 not work with dll error,,,,,,,
1667026591-113,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse is not responding on ctrl + c and ctrl + v (copy/paste).,,,,,,,
1667026591-114,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,eclipse-inst-jre-win64.exe detected as Malicious.8b007b virus by Cybereason at virustotal,,,,,,,
1667026591-115,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,getToolbar() gets NoSuchMethodError when used with Eclipse 4.2,,,,,,,
1667026591-116,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse cygwin complains error with *** multiple target patterns using eclipse cdt package 9.5.0.201806170908,,,,,,,
1667026591-117,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[wiring] org.eclipse.recommenders.snipmatch.rcp bundle unresolved,,,,,,,
1667026591-118,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,An error has occurred. See error log for more details. org/eclipse/buildship/core/internal/workspace/WorkbenchShutdownEvent,,,,,,,
1667026591-119,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"After installing german language packs (R0.13.0), eclipse crashes on startup",,,,,,,
